Date,close,r,rv_1,rv_5,rv_22,ret_5,y,log_rv_1,log_rv_5,log_rv_22,log_y
2000-02-03,1424.969970703125,0.011185347697919568,0.177561890018904,0.28681937098962246,0.24909268035809184,0.01870756256197037,0.1745576996550797,-1.7284359983588444,-1.2489025958675484,-1.389930201351329,-1.7454998776578363
2000-02-04,1424.3699951171875,-0.00042113303572222094,0.006685279688368063,0.20786703238801327,0.2110405410029521,0.04612724225598175,0.2304273728377569,-5.007845735280653,-1.5708566229569698,-1.5557049791230986,-1.4678195081001895
2000-02-07,1424.239990234375,-9.127601431657695e-05,0.0014489618072810026,0.10930893570980249,0.21094066576914683,0.02113111571254045,0.23087708661971537,-6.536901072505751,-2.2135770416794287,-1.5561783425304434,-1.4658697593140788
2000-02-08,1441.719970703125,0.012198493672594068,0.1936450837636732,0.11753866231015357,0.21491855750053168,0.022757868469727605,0.22270469925731953,-1.6417282089288328,-2.1409878735041583,-1.537496078412054,-1.501908558748771
2000-02-09,1411.7099609375,-0.021035117059751585,0.33392213123540937,0.19004074586075165,0.20754322179003543,0.0018363152607232536,0.18070212169852348,-1.0968474232534378,-1.6605167252941864,-1.5724156150363184,-1.7109052845607673
2000-02-10,1416.8299560546875,0.003620242852776734,0.05746957364463755,0.1745576996550797,0.20446494802532753,-0.00572878958441958,0.17889050393508443,-2.856499451231421,-1.7454998776578363,-1.5873586725814994,-1.7209813142719403
2000-02-11,1387.1199951171875,-0.02119229898918995,0.3364173170107327,0.2304273728377569,0.21206128000588223,-0.02649995553788731,0.23942492789024403,-1.0894028450435242,-1.4678195081001895,-1.5508799422912445,-1.429515322986646
2000-02-14,1389.93994140625,0.002030886853549241,0.03223932933241047,0.23087708661971537,0.21165035270831847,-0.024377792670021492,0.24112248041131182,-3.434567853724568,-1.4658697593140788,-1.5528195982991275,-1.4224502156432235
2000-02-15,1402.050048828125,0.008674947553079626,0.1377105231718619,0.22270469925731953,0.209718528114234,-0.027901338789535934,0.23735127854784618,-1.982601382550199,-1.501908558748771,-1.5619889419570974,-1.438214005106156
2000-02-16,1387.6700439453125,-0.010309372816680096,0.1636562198759101,0.18070212169852348,0.20954394783418265,-0.017175594546464446,0.22895717140131966,-1.8099872104679893,-1.7109052845607673,-1.5628217390320966,-1.4742202736912464
2000-02-17,1388.260009765625,0.0004250581374742879,0.006747588747007621,0.17889050393508443,0.20826039852897546,-0.02037077926176689,0.25231305236925644,-4.998568578572661,-1.7209813142719403,-1.5689660182527354,-1.3770846515113913
2000-02-18,1346.0899658203125,-0.03084710308169214,0.4896825805255893,0.23942492789024403,0.23295658798897984,-0.03002558335426908,0.14749566849229676,-0.7139978722115473,-1.429515322986646,-1.4569031174931364,-1.913956401988778
2000-02-22,1352.1700439453125,0.004506673481115442,0.07154122362720722,0.24112248041131182,0.23220816886354192,-0.02754979672670288,0.17310266420955,-2.6374813014194918,-1.4224502156432235,-1.4601209869814735,-1.753870367990653
2000-02-23,1360.68994140625,0.006281139106337541,0.09970999215342972,0.23735127854784618,0.2329701910788532,-0.029943605173444965,0.17982545566703675,-2.3054892845445076,-1.438214005106156,-1.4568447259607993,-1.7157685336753523
2000-02-24,1353.4300537109375,-0.005349730316245527,0.08492433598829154,0.22895717140131966,0.21356047942275327,-0.024983962673010396,0.17626529417993156,-2.465994466015581,-1.4742202736912464,-1.5438351636185892,-1.7357650088328966
2000-02-25,1333.3599853515625,-0.014940089385435229,0.23716656647362458,0.25231305236925644,0.21850864279792243,-0.04034911019591991,0.19815720988434243,-1.4389925304143352,-1.3770846515113913,-1.5209296643247638,-1.6186945235505272
2000-02-28,1348.050048828125,0.010957078745979842,0.17393823274568476,0.14749566849229676,0.22117207819445445,0.0014550716317520695,0.20357524752531214,-1.7490549695179525,-1.913956401988778,-1.5088142008651477,-1.5917195266153144
2000-02-29,1366.4200439453125,0.013535073096646144,0.21486262434483963,0.17310266420955,0.22547098286798561,0.010483471247282772,0.25727262451723354,-1.5377563650684627,-1.753870367990653,-1.4895637630453318,-1.3576189216770105
2000-03-01,1379.18994140625,0.009302114728481747,0.14766649343132293,0.17982545566703675,0.20724327697752123,0.013504446869426978,0.255279678066804,-1.9127989030369439,-1.7157685336753523,-1.5738618764321208,-1.3653955189386084
2000-03-02,1381.760009765625,0.0018617281349939674,0.029554017924036745,0.17626529417993156,0.18943277898632277,0.020715905320666472,0.3117715232342348,-3.5215352356531766,-1.7357650088328966,-1.663720992905816,-1.1654846246847148
2000-03-03,1409.1700439453125,0.0196428537973814,0.31182063712483143,0.19815720988434243,0.19754553795240717,0.0552988485034831,0.28086400458491356,-1.1653271054205383,-1.6186945235505272,-1.6217860986864177,-1.2698846606436915
2000-03-06,1391.280029296875,-0.012776701994210882,0.20282385631359007,0.20357524752531214,0.20222259755226768,0.031565067763292376,0.2721767972762368,-1.5954173301972652,-1.5917195266153144,-1.598386170771084,-1.3013033971111494
2000-03-07,1355.6199951171875,-0.0259652971202895,0.4121863133891255,0.25727262451723354,0.21721761912627602,-0.007935302453643267,0.2369556646333321,-0.8862797906271163,-1.3576189216770105,-1.5268555288096628,-1.4398821822022885
2000-03-08,1366.699951171875,0.008140128606934027,0.12922053560418048,0.255279678066804,0.21895310032815596,-0.009097288575190987,0.28600134023606055,-2.046234678572063,-1.3653955189386084,-1.5188976801806577,-1.251758747068322
2000-03-09,1401.68994140625,0.025279570403423435,0.40130073922804305,0.3117715232342348,0.23507545277744998,0.01432055369323848,0.3984725715120813,-0.9130441347086589,-1.1654846246847148,-1.4478486981834782,-0.9201165873546678
2000-03-10,1395.0699462890625,-0.0047340549396848175,0.07515079237993745,0.28086400458491356,0.23197565801932762,-0.010056355043827736,0.39812101738513644,-2.5882584857950772,-1.2698846606436915,-1.4611227920430738,-0.9209992310159822
2000-03-13,1383.6199951171875,-0.008241305233129381,0.13082666475261318,0.2721767972762368,0.22253612133544193,-0.005520958282746236,0.3956379997555017,-2.033881925333507,-1.3013033971111494,-1.502665802534892,-0.9272556025662251
2000-03-14,1359.1500244140625,-0.017843727175415935,0.2832603874118135,0.2369556646333321,0.2302592266200196,0.002600611662127328,0.415453154573451,-1.2613886722038135,-1.4398821822022885,-1.4685494890377817,-0.878385391681597
